,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
1883,12228,10.25,-12.55,84,69,2,175,150,-100,-101,-129,-67.5,-67.5,-67.5,-60.0,-112.5,43.691128579296,24.1645446325733,7.627784958608741,5.71600572585322,0.11960769947251,9.87260373248902,21.2309548363074,8.42489563596216,8.25060090757606,4.46022179244646
1884,12229,10.4,-12.55,84,70,2,-179,164,-61,-129,-142,-67.5,-75.0,-75.0,75.0,127.5,35.0263937954958,15.534367837225599,15.4603072758954,2.02760405334038,1.66452924566869,9.91768833991169,9.360370699158711,7.36411266009405,4.92062286875814,4.62687379362841
1885,12230,10.55,-12.55,84,71,2,176,-107,165,-25,123,-75.0,-60.0,-82.5,-142.5,45.0,29.315565044904197,23.032873362182396,9.67072063060647,2.35159443413602,1.3934514470056498,9.03380746064685,24.6018517702636,5.7010605732636295,4.27021706265667,2.91929209870448
1886,12231,10.7,-12.55,84,72,2,179,-65,164,92,-109,-75.0,-75.0,-82.5,180.0,180.0,31.680570284167,22.197600906901805,10.2482701065063,2.60754064539731,3.41636163631858,9.95512981798638,7.88851530701309,8.3823683701854,5.39409122308241,6.16170751356325
1887,12232,10.85,-12.55,84,73,2,179,-113,6,165,-5,-67.5,-67.5,-127.5,-67.5,-82.5,38.6911240821214,31.266309513396603,0.0910752767245526,3.27216240590923,1.42248770471974,9.963792384247089,21.567519938825804,3.3594471355150897,4.948944729101219,5.18268458497624
1888,12233,11.0,-12.55,84,74,2,178,-115,67,127,176,-67.5,-67.5,-60.0,15.0,165.0,37.5018645707199,25.782264330778304,15.437417207893901,2.23637083609407,-0.7941879268549878,10.0234993844429,14.8322092212156,9.0188484830847,5.168057520270589,2.5257108240317003
1889,12234,11.15,-12.55,84,75,2,178,69,-114,164,-131,-75.0,-75.0,-67.5,-60.0,-75.0,27.4726808947132,22.356492867492104,23.5362624160942,4.41447453251141,3.68313198921771,9.72018848011026,9.471207637178921,18.5993580206176,5.11809655517226,6.06751716887912
1890,12235,11.3,-12.55,84,76,2,-117,176,-66,-132,5,150.0,-75.0,-60.0,-22.5,0.0,30.068359128081497,23.437860556961898,15.5523802201841,1.64764728763163,3.1212060221647597,25.961542841270198,9.81490139986714,9.384469031474211,4.10024657884392,5.893164174526531
1891,12236,11.45,-12.55,84,77,2,-179,71,75,-18,-118,-60.0,-67.5,-67.5,-75.0,165.0,31.123242777764897,18.2330109260856,14.4781138449117,17.0470884376194,14.5227461844668,9.84113958859981,6.909794008759611,6.438009244649661,17.2376744841088,18.9561490144477
1892,12237,11.6,-12.55,84,78,2,179,-67,-11,33,110,-75.0,-60.0,-97.5,-52.5,30.0,31.4591219351657,26.7687755417521,3.0909915783917703,0.8262423153725541,1.19995115680734,9.948779402842518,10.8253625168063,5.092559812666639,3.90348963087099,3.6391683294129504
