,lineIndex,rxPos_1,rxPos_2,rxPosInd_1,rxPosInd_2,linkState,aoaAzResult_1,aoaAzResult_2,aoaAzResult_3,aoaAzResult_4,aoaAzResult_5,aodAzResult_1,aodAzResult_2,aodAzResult_3,aodAzResult_4,aodAzResult_5,snrResult_1,snrResult_2,snrResult_3,snrResult_4,snrResult_5,peakFracResult_1,peakFracResult_2,peakFracResult_3,peakFracResult_4,peakFracResult_5
914,14960,12.05,-10.0,67,81,2,53,26,-12,-135,90,127.5,150.0,15.0,135.0,112.5,50.942814394973496,36.8006820531306,35.40183229009121,32.1094705936188,24.6529085734155,10.493546594584,21.1398523151277,22.6323129815034,24.1378064102071,11.1775396814619
915,14961,12.2,-10.0,67,82,1,-46,62,-12,135,25,135.0,127.5,15.0,142.5,67.5,52.79526844608021,30.083942661058998,26.8727798893884,19.670371200504103,20.8362137782133,13.571404807759599,7.781593232928981,20.288413225235,13.310688910868402,21.1587151118217
916,14962,12.35,-10.0,67,83,1,-51,27,145,-13,96,127.5,142.5,127.5,15.0,112.5,48.923749276460704,26.8578386729671,27.1807656057901,22.0009724159877,15.2822915674631,11.444323209155,21.166536787090603,14.333830518161301,24.5438372504396,12.3190610863255
917,14963,12.5,-10.0,67,84,1,-57,144,-42,-14,23,127.5,127.5,157.5,15.0,67.5,49.873026015634395,26.4252744671833,20.3051257981637,24.838004205918498,16.615932370933002,10.0567141920396,17.0356792196189,8.923063479837039,22.833439670746603,18.1393884880358
918,14964,12.65,-10.0,67,85,1,-67,-80,28,145,-14,120.0,112.5,67.5,127.5,15.0,50.0171919363944,27.437537528512202,18.559935714672,21.0012876411805,20.612971374845102,10.851903902040501,10.810629588818099,20.5103983206327,19.3193973771176,24.5563939338172
919,14965,12.8,-10.0,67,86,1,-75,-86,27,-15,150,112.5,105.0,67.5,15.0,120.0,49.632923997812206,33.159480039721196,19.4985084902445,22.6944455977953,20.4270327878079,13.9727723206479,12.2564741726495,20.5073822089531,24.500958670798802,19.8005785366593
920,14966,12.95,-10.0,67,87,1,-82,-94,152,-15,-101,97.5,150.0,157.5,15.0,142.5,50.299305084029704,30.5628498444538,31.040492840647502,25.7582378861894,13.9759143438466,17.515260673824198,16.7242449901591,19.3490229573539,24.1481536016893,8.29344161574148
921,14967,13.1,-10.0,67,88,1,-90,-102,-110,28,-16,90.0,142.5,165.0,60.0,15.0,52.7160124395592,31.7418101937818,21.635260188404196,20.6072309883383,23.2120609021356,21.2340510461605,20.5978137296098,12.6900062289239,17.5003886579655,22.122779513218603
922,14968,13.25,-10.0,67,89,1,-99,-112,-4,-17,-87,82.5,150.0,45.0,15.0,-165.0,53.328153089497604,41.7645804373758,19.448142974866396,23.0752794366086,18.648706640971,23.6625574522151,24.843082435968398,11.0690780335235,22.0681108467322,12.169390808502099
923,14969,13.4,-10.0,67,90,1,-108,-120,38,-35,18,75.0,150.0,142.5,-37.5,37.5,50.2205757621656,37.739600370367704,22.401902865791,23.0213720850221,18.4407089479387,25.516971475857396,24.9701955324323,14.7886027746277,15.5181274228809,11.1209213166661
